title,genre,director,cast
The Idea of You,"Comedy, Drama, Romance",Michael Showalter,"Anne Hathaway, Nicholas Galitzine, Ella Rubin, Annie Mumolo"
Kingdom of the Planet of the Apes,"Action, Adventure, Sci-Fi",Wes Ball,"Owen Teague, Freya Allan, Kevin Durand, Peter Macon"
Unfrosted,"Biography, Comedy, History",Jerry Seinfeld,"Isaac Bae, Jerry Seinfeld, Chris Rickett, Rachael Harris"
The Fall Guy,"Action, Comedy, Drama",David Leitch,"Ryan Gosling, Emily Blunt, Aaron Taylor-Johnson, Hannah Waddingham"
Challengers,"Drama, Romance, Sport",Luca Guadagnino,"Zendaya, Mike Faist, Josh O'Connor, Darnell Appling"
Abigail,"Horror, Thriller",Matt Bettinelli-Olpin,"Tyler Gillett, Melissa Barrera, Dan Stevens, Alisha Weir, William Catlett"
Civil War,"Action, Adventure, Thriller",Alex Garland,"Kirsten Dunst, Wagner Moura, Cailee Spaeny, Nick Offerman"
Twisters,"Action, Adventure, Thriller",Lee Isaac Chung,"Daisy Edgar-Jones, Glen Powell, David Corenswet, Katy O'Brian"
Anyone But You,"Comedy, Romance",Will Gluck,"Sydney Sweeney, Glen Powell, Alexandra Shipp, Mia Artemis"
The Ministry of Ungentlemanly Warfare,"Action, Drama, War",Guy Ritchie,"Henry Cavill, Alan Ritchson, Alex Pettyfer, Eiza González"
Dune: Part Two,"Action, Adventure, Drama",Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem"
Furiosa: A Mad Max Saga,"Action, Adventure, Sci-Fi",George Miller,"Anya Taylor-Joy, Chris Hemsworth, Charlee Fraser, Lachy Hulme"
Gojira -1.0,"Action, Adventure, Drama",Takashi Yamazaki,"Minami Hamabe, Ryunosuke Kamiki, Sakura Andô, Rikako Miura"
Ghostbusters: Frozen Empire,"Adventure, Comedy, Fantasy",Gil Kenan,"Paul Rudd, Carrie Coon, Finn Wolfhard, Mckenna Grace"
Love Lies Bleeding,"Action, Adventure, Crime",Rose Glass,"Anna Baryshnikov, Kristen Stewart, Dave Franco, Katy O'Brian"
The Judge,"Crime, Drama, Mystery",David Dobkin,"Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton"
Mother of the Bride,"Comedy, Drama, Romance",Mark Waters,"Brooke Shields, Miranda Cosgrove, Benjamin Bratt, Rachael Harris"
IF,"Animation, Comedy, Drama",John Krasinski,"Cailey Fleming, Ryan Reynolds, John Krasinski, Phoebe Waller-Bridge"
Megalopolis,"Drama, Sci-Fi",Francis Ford Coppola,"Nathalie Emmanuel, Shia LaBeouf, Giancarlo Esposito, Adam Driver"
Late Night with the Devil,Horror,Cameron Cairnes,"Colin Cairnes, David Dastmalchian, Laura Gordon, Ian Bliss, Fayssal Bazzi"
Laapataa Ladies,"Comedy, Drama",Kiran Rao,"Nitanshi Goel, Pratibha Ranta, Sparsh Srivastav, Savita Malviya"
Deadpool & Wolverine,"Action, Comedy, Sci-Fi",Shawn Levy,"Ryan Reynolds, Hugh Jackman, Emma Corrin, Morena Baccarin"
War for the Planet of the Apes,"Action, Adventure, Drama",Matt Reeves,"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval"
Monkey Man,"Action, Thriller",Dev Patel,"Dev Patel, Sharlto Copley, Pitobash, Jatin Malik"
Shaitaan,"Horror, Thriller",Vikas Bahl,"Ajay Devgn, Madhavan, Jyotika, Janki Bodiwala"
Tarot,Horror,Spenser Cohen,"Anna Halberg, Avantika, Jacob Batalon, Olwen Fouéré, Harriet Slater"
Godzilla x Kong: The New Empire,"Action, Adventure, Fantasy",Adam Wingard,"Rebecca Hall, Brian Tyree Henry, Dan Stevens, Kaylee Hottle"
Poor Things,"Comedy, Drama, Romance",Yorgos Lanthimos,"Emma Stone, Mark Ruffalo, Willem Dafoe, Ramy Youssef"
Arcadian,"Action, Horror, Thriller",Benjamin Brewer,"Nicolas Cage, Jaeden Martell, Maxwell Jenkins, Sadie Soverall"
Bullet Train,"Action, Comedy, Thriller",David Leitch,"Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry"
